,No,Kecamatan,Kelurahan,Kode Kel,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,J_M_Non,IR_Non,CFR_Non,2017,2018,2019,2020,ABJ,Strata_E,Kelas_Endemis,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_RW,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,Mini_Market,Toko Kelontong,Resto_RM,WM_Kedai,BPR,KUD,IRT,Total_T_Ibadah,kop_total,pasar_total,instansi_kesehatan,toko_obat
0,1.0,Ngaliyan,Bambankerep,33.74.15.1006,5894.0,3.0,0.0,50.7,0.0,13.0,0.0,219.7,0.0,1.0,0.0,16.9,0.0,0.0,0.0,1.0,3.0,95.19,2.0,Sporadis,19.94,0.0,61.33,34.0,5.0,2976.0,3054.0,1863.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1067.0,0.0,0.0,0.0,2.0,99.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
1,2.0,Semarang Utara,Bandarharjo,33.74.02.1001,20538.0,8.0,0.0,38.8,0.0,54.0,0.0,261.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,92.82,2.0,Sporadis,238.83,0.0,342.68,103.0,12.0,10650.0,10721.0,6801.0,14.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1251.0,0.0,0.0,0.0,1.0,103.0,5.0,34.0,0.0,0.0,0.0,51.0,1.0,1.0,3.0,0.0
2,3.0,Genuk,Bangetayu Kulon,33.74.05.1010,16701.0,0.0,0.0,0.0,0.0,16.0,0.0,94.4,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,97.55,2.0,Sporadis,100.0,79.0,105.51,94.0,11.0,8732.0,8522.0,5020.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,810.0,0.0,0.0,0.0,2.0,99.0,1.0,53.0,0.0,2.0,0.0,57.0,0.0,1.0,0.0,1.0
3,4.0,Genuk,Bangetayu Wetan,33.74.05.1011,13544.0,3.0,0.0,21.8,0.0,15.0,0.0,108.9,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,97.92,2.0,Sporadis,61.3,0.0,62.3,78.0,9.0,7015.0,6939.0,4144.0,13.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1137.0,0.0,0.0,0.0,1.0,15.0,0.0,20.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,1.0
4,5.0,Semarang Tengah,Bangunharjo,33.74.01.1009,2464.0,0.0,0.0,0.0,0.0,1.0,0.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.76,2.0,Sporadis,22.78,0.0,25.1,24.0,4.0,1188.0,1291.0,879.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1743.0,0.0,0.0,0.0,2.0,18.0,6.0,10.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,10.0
5,6.0,Genuk,Banjardowo,33.74.05.1005,10141.0,5.0,0.0,48.7,0.0,5.0,0.0,48.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,96.28,2.0,Sporadis,87.07,123.51,88.57,54.0,8.0,5113.0,5196.0,3070.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1076.0,0.0,0.0,0.0,3.0,79.0,4.0,30.0,0.0,0.0,0.0,34.0,1.0,1.0,2.0,3.0
6,7.0,Banyumanik,Banyumanik,33.74.11.1005,11584.0,4.0,0.0,34.4,0.0,33.0,0.0,283.5,0.0,1.0,0.0,8.59,0.0,3.0,1.0,6.0,4.0,92.01,1.0,Endemis,193.5,2.3,361.95,53.0,10.0,5829.0,5963.0,3732.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,747.0,0.0,0.0,0.0,5.0,34.0,2.0,52.0,0.0,0.0,0.0,46.0,2.0,1.0,1.0,5.0
7,8.0,Semarang Selatan,Barusari,33.74.07.1003,6469.0,1.0,0.0,16.0,0.0,5.0,0.0,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.92,2.0,Sporadis,25.52,0.0,39.52,47.0,7.0,2975.0,3176.0,2072.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1209.0,2.0,25.0,764.0,2.0,54.0,3.0,89.0,0.0,0.0,0.0,26.0,0.0,1.0,4.0,5.0
8,9.0,Gajahmungkur,Bendan Duwur,33.74.09.1002,4048.0,3.0,0.0,73.1,0.0,14.0,0.0,341.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,92.13,2.0,Sporadis,14.1,0.0,16.1,7.0,28.0,2013.0,2084.0,1283.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,5.0,443.0,15382.0,2.0,57.0,11.0,49.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,1.0
9,10.0,Gajahmungkur,Bendan Ngisor,33.74.09.1003,5990.0,0.0,0.0,0.0,0.0,25.0,0.0,415.7,0.0,3.0,0.0,49.88,0.0,1.0,0.0,0.0,0.0,93.12,3.0,Potensial,52.9,0.0,59.34,5.0,30.0,2870.0,3072.0,1984.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,542.0,4.0,245.0,9165.0,5.0,99.0,7.0,32.0,2.0,0.0,0.0,22.0,3.0,0.0,2.0,2.0
