J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
5894;3;0;50.7;0;13;0;219.7;0;1;0;16.9;0;0;0;1;3;95.19;2;19.94;0;61.33;34;5;2976;3054;1863;2;0;1;0;0;1;0;0;1067;0;0;0;2;99;0;36;0;0;0;20;0;0;0;1
20538;8;0;38.8;0;54;0;261.8;0;0;0;0;0;3;0;0;8;92.82;2;238.83;0;342.68;103;12;10650;10721;6801;14;5;2;1;0;0;0;0;1251;0;0;0;1;103;5;34;0;0;0;51;1;1;3;0
16701;0;0;0;0;16;0;94.4;0;0;0;0;0;6;3;3;0;97.55;2;100;79;105.51;94;11;8732;8522;5020;8;1;0;1;0;0;1;1;810;0;0;0;2;99;1;53;0;2;0;57;0;1;0;1
13544;3;0;21.8;0;15;0;108.9;0;0;0;0;0;3;2;0;3;97.92;2;61.3;0;62.3;78;9;7015;6939;4144;13;2;3;2;1;1;0;0;1137;0;0;0;1;15;0;20;0;0;0;60;0;0;1;1
2464;0;0;0;0;1;0;40.9;0;0;0;0;0;0;0;1;0;97.76;2;22.78;0;25.1;24;4;1188;1291;879;4;3;0;2;0;0;0;0;1743;0;0;0;2;18;6;10;2;0;0;11;0;0;1;10
10141;5;0;48.7;0;5;0;48.7;0;0;0;0;0;3;0;1;5;96.28;2;87.07;123.51;88.57;54;8;5113;5196;3070;2;1;1;0;1;0;0;1;1076;0;0;0;3;79;4;30;0;0;0;34;1;1;2;3
11584;4;0;34.4;0;33;0;283.5;0;1;0;8.59;0;3;1;6;4;92.01;1;193.5;2.3;361.95;53;10;5829;5963;3732;13;4;0;0;0;1;0;0;747;0;0;0;5;34;2;52;0;0;0;46;2;1;1;5
6469;1;0;16;0;5;0;80.1;0;0;0;0;0;0;0;0;1;96.92;2;25.52;0;39.52;47;7;2975;3176;2072;3;2;0;1;0;0;1;0;1209;2;25;764;2;54;3;89;0;0;0;26;0;1;4;5
4048;3;0;73.1;0;14;0;341.2;0;0;0;0;0;1;0;4;3;92.13;2;14.1;0;16.1;7;28;2013;2084;1283;5;0;0;0;0;0;0;0;234;5;443;15382;2;57;11;49;0;0;0;32;0;1;0;1
5990;0;0;0;0;25;0;415.7;0;3;0;49.88;0;1;0;0;0;93.12;3;52.9;0;59.34;5;30;2870;3072;1984;4;2;0;0;0;0;0;1;542;4;245;9165;5;99;7;32;2;0;0;22;3;0;2;2
4209;0;0;0;0;2;0;47.5;0;0;0;0;0;1;0;0;0;93.68;3;35.24;0;38.04;5;29;2005;2146;1399;2;1;0;0;0;0;0;0;407;0;0;0;3;16;2;4;1;0;0;23;0;0;0;0
16651;3;0;17.8;0;29;0;172;0;1;0;5.93;0;2;2;3;3;98.44;1;72.92;0;93.05;146;22;8476;8603;5002;17;2;0;0;1;0;0;0;400;0;0;0;4;170;0;34;0;0;0;51;0;0;2;4
