J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah
5894,3,0,50.7,0.0,13,0,219.7,0,1,0,0,1,3,2,19.94,0.0,61.33,34,2976,3054,1863,2,0,1,0,0,1,0,0,1067,0,0.0,0.0,0,0,0,0.0,0,0,2,99,36,0,0,0,0,3,3,10,4.0,3,20
20538,8,0,38.8,0.0,54,0,261.8,0,0,3,0,0,8,2,238.83,0.0,342.68,103,10650,10721,6801,14,5,2,1,0,0,0,0,1251,0,0.0,0.0,0,0,1,1.0,1,0,1,103,34,0,0,0,1,2,6,36,7.0,2,51
16701,0,0,0.0,0.0,16,0,94.4,0,0,6,3,3,0,2,100.0,79.0,105.51,94,8732,8522,5020,8,1,0,1,0,0,1,1,810,0,0.0,0.0,0,0,0,0.0,0,1,2,99,53,0,2,0,0,4,11,37,9.0,0,57
13544,3,0,21.8,0.0,15,0,108.9,0,0,3,2,0,3,2,61.3,0.0,62.3,78,7015,6939,4144,13,2,3,2,1,1,0,0,1137,0,0.0,0.0,0,0,0,1.0,0,0,1,15,20,0,0,0,0,0,4,48,7.0,1,60
2464,0,0,0.0,0.0,1,0,40.9,0,0,0,0,1,0,2,22.78,0.0,25.1,24,1188,1291,879,4,3,0,2,0,0,0,0,1743,0,0.0,0.0,0,0,1,0.0,0,0,2,18,10,2,0,0,0,2,1,8,0.0,2,11
10141,5,0,48.7,0.0,5,0,48.7,0,0,3,0,1,5,2,87.07,123.51,88.57,54,5113,5196,3070,2,1,1,0,1,0,0,1,1076,0,0.0,0.0,0,0,2,0.0,0,2,3,79,30,0,0,0,1,2,1,31,1.0,1,34
11584,4,0,34.4,0.0,33,0,283.5,0,1,3,1,6,4,1,193.5,2.3,361.95,53,5829,5963,3732,13,4,0,0,0,1,0,0,747,0,0.0,0.0,0,0,1,0.0,0,4,5,34,52,0,0,0,2,1,12,19,13.0,2,46
6469,1,0,16.0,0.0,5,0,80.1,0,0,0,0,0,1,2,25.52,0.0,39.52,47,2975,3176,2072,3,2,0,1,0,0,1,0,1209,2,25.0,764.0,2,0,2,0.0,0,5,2,54,89,0,0,0,0,3,5,13,5.0,3,26
4048,3,0,73.1,0.0,14,0,341.2,0,0,1,0,4,3,2,14.1,0.0,16.1,7,2013,2084,1283,5,0,0,0,0,0,0,0,234,5,443.0,15382.0,0,0,0,0.0,0,0,2,57,49,0,0,0,0,2,5,22,5.0,0,32
5990,0,0,0.0,0.0,25,0,415.7,0,3,1,0,0,0,3,52.9,0.0,59.34,5,2870,3072,1984,4,2,0,0,0,0,0,1,542,4,245.0,9165.0,0,0,2,0.0,0,2,5,99,32,2,0,0,2,0,5,11,6.0,0,22
4209,0,0,0.0,0.0,2,0,47.5,0,0,1,0,0,0,3,35.24,0.0,38.04,5,2005,2146,1399,2,1,0,0,0,0,0,0,407,0,0.0,0.0,0,0,0,0.0,0,0,3,16,4,1,0,0,0,4,6,8,6.0,2,23
16651,3,0,17.8,0.0,29,0,172.0,0,1,2,2,3,3,1,72.92,0.0,93.05,146,8476,8603,5002,17,2,0,0,1,0,0,0,400,0,0.0,0.0,0,0,2,0.0,0,1,4,170,34,0,0,0,0,2,11,26,13.0,1,51
8887,1,0,11.3,0.0,21,0,237.2,0,2,2,0,2,1,2,43.8,0.0,50.0,58,4202,4432,2841,7,3,1,1,0,0,0,0,1453,1,39.0,227.0,0,0,5,0.0,0,1,3,116,130,0,0,0,5,3,7,7,4.0,2,20
13270,5,0,37.7,0.0,16,0,120.8,0,0,9,0,2,5,2,55.8,0.0,79.7,63,6448,6652,4229,6,0,1,0,0,0,0,0,362,0,44.0,394.0,0,0,0,0.0,0,2,2,194,114,0,0,0,3,5,9,19,8.0,3,40
3987,0,0,0.0,0.0,5,0,125.5,0,2,0,1,0,0,2,25.62,0.0,30.39,35,1939,2199,1492,7,1,0,1,0,1,0,0,1955,1,32.0,3770.0,0,0,0,0.0,0,1,3,70,40,0,0,0,0,1,1,2,1.0,1,5
2651,1,1,36.8,36.8,4,0,147.3,0,1,0,0,0,1,2,97.42,61.02,241.28,18,1434,1384,908,5,1,0,1,0,0,0,0,864,0,0.0,0.0,0,0,0,0.0,0,1,1,21,13,0,0,0,0,0,3,12,3.0,0,18
8360,0,0,0.0,0.0,3,0,36.3,0,0,2,1,2,0,2,53.8,0.0,67.8,68,3866,4239,2855,7,5,0,2,0,0,0,1,1538,0,0.0,0.0,1,0,0,1.0,0,2,4,0,47,0,0,0,1,1,3,6,3.0,2,14
15037,0,0,0.0,0.0,4,0,26.6,0,1,2,0,1,0,2,50.0,0.0,60.0,79,7696,8036,5094,11,3,1,1,0,0,0,1,1036,0,0.0,0.0,0,0,0,1.0,1,1,2,81,44,0,0,0,0,2,10,15,11.0,8,44
5852,0,0,0.0,0.0,19,0,319.5,0,2,4,0,1,0,2,120.28,49.0,254.95,42,2999,2988,1851,8,3,0,1,2,0,2,1,1162,0,0.0,0.0,0,0,1,0.0,0,2,5,50,128,0,0,0,0,6,7,5,3.0,1,16
4707,0,0,0.0,0.0,3,0,64.7,0,1,0,0,0,0,4,23.03,0.0,26.08,31,2226,2326,1554,4,1,1,0,0,0,0,0,344,0,0.0,0.0,0,0,0,0.0,0,3,2,5,5,1,0,0,0,2,3,9,5.0,0,17
2858,0,0,0.0,0.0,3,0,105.7,0,0,0,0,0,0,3,20.4,0.0,27.5,25,1338,1498,960,2,2,0,0,0,0,0,0,73,1,34.0,1360.0,0,0,1,0.0,0,1,3,26,41,1,0,0,1,1,2,3,2.0,1,8
11879,2,0,16.9,0.0,15,0,126.7,0,2,0,1,3,2,1,50.28,0.0,59.42,68,5660,5935,3910,9,3,0,1,0,0,0,1,974,1,17.0,518.0,0,0,1,1.0,0,1,6,98,44,1,0,0,3,3,13,23,17.0,2,55
